Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Male,Rural,Unmarried,General,Antyodaya,University,Private,Distance mode,Arts,Arts,Third,Graduate,Literate,No,No,5,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,5,4,4,4,5,4,5,4,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,5,5,4,4,5,4,5,4,5,4,5,4,4,4,62,72,55,39,57,285
Between 18 to 25,Female,Rural,Married,General,Above Poverty Line (APL),University,Government,Distance mode,Arts,Arts,First,Literate,Literate,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,13,9,13,68
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),University,Government,Distance mode,B.A Marketing ,Not Applicable,Third,Literate,Intermediate,No,No,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,34,36,24,19,28,141
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Not Applicable,Yoga,First,Literate,Intermediate,No,No,4,4,4,3,4,4,4,2,2,2,2,4,2,4,2,4,4,4,2,1,3,1,3,1,3,1,3,1,3,3,3,1,1,2,4,3,4,2,4,2,2,4,4,4,3,4,4,2,2,4,2,4,4,4,4,2,4,3,4,4,3,4,3,4,2,4,51,38,35,29,45,198
Between 18 to 25,Female,Urban,Married,General,Antyodaya,University,Government,Distance mode,Yoga ba,Not Applicable,First,Graduate,Above Graduation,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,4,3,2,4,2,3,3,2,2,32,35,23,18,38,146
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Private,Regular mode,Not Applicable,Not Applicable,First,Intermediate,Intermediate,No,No,4,2,4,1,1,4,2,2,4,2,1,2,3,2,2,1,1,2,4,3,1,2,2,5,1,3,3,2,4,3,1,3,4,4,3,1,2,4,2,5,5,1,2,3,4,2,1,3,5,4,2,4,3,5,3,5,3,2,2,3,5,4,2,3,1,3,37,44,32,28,41,182
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),University,Private,Distance mode,Science,Science,Sixth,Literate,Literate,No,No,3,4,4,2,1,2,2,2,2,2,2,2,1,1,2,1,3,3,2,3,3,5,3,3,3,3,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,4,3,3,3,4,3,3,3,3,2,2,2,2,2,1,2,2,1,2,2,2,2,33,44,14,29,24,144
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Science,Not Applicable,Second,Above Graduation,Above Graduation,No,No,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,3,5,3,3,5,3,3,3,3,3,17,17,11,9,46,100
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Distance mode,Diploma,Diploma,First,Literate,Intermediate,No,No,2,1,2,2,2,2,2,2,4,3,2,3,2,3,2,4,4,4,4,2,2,2,2,4,2,2,2,4,2,4,2,4,2,2,4,4,2,2,2,4,4,2,4,4,4,2,2,2,2,4,4,4,2,2,2,2,3,2,4,2,2,2,2,2,2,2,38,48,34,26,29,175
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Antyodaya,University,Private,Distance mode,Yoga,Not Applicable,Second,Intermediate,Intermediate,No,No,5,5,5,3,2,5,5,5,5,2,2,2,4,5,5,2,5,5,5,3,5,2,4,5,2,5,2,2,4,2,2,2,2,2,2,5,5,5,2,2,2,2,2,5,5,5,5,4,5,5,2,5,5,2,2,2,3,3,5,3,3,3,2,3,2,2,62,57,34,41,35,229
